id,name,fullName,insCode,stockType,instrumentId,cisin,lSecVal,cSecVal,created_date,cSecValReal,Holding
542,شغدیر,پتروشیمی غدیر,2.18E+16,300,IRO1PGDR0001,IRO1PGDR0001,محصولات شيميايي,44,2023-08-31T05:41:54.626Z,44,0
625,زنگان,صنعت روی زنگان,6.72E+16,303,IRO3ZAGZ0001,IRO3ZAGZ0000,فلزات اساسي,27,2023-08-31T05:42:00.398Z,27,0
776,پاکشو,گروه صنعتی پاکشو,6.28E+16,300,IRO1PASH0001,IRO1PASH0002,محصولات شيميايي,44,2023-08-31T05:42:10.586Z,44,0
491,ورازی,بیمه رازی,6.01E+16,309,IRO7RZIP0001,IRO7RZIP0007,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66,2023-08-31T05:41:51.251Z,66,0
493,سپ,پرداخت الکترونیک سامان کیش,7.19E+16,300,IRO1SEPK0001,IRO1SEPK0003,رايانه و فعاليت‌هاي وابسته به آن,72,2023-08-31T05:41:51.391Z,72,0
495,سکرد,سیمان کردستان,6.53E+16,300,IRO1SKOR0001,IRO1SKOR0009,"سيمان، آهك و گچ",53,2023-08-31T05:41:51.535Z,53,0
497,زماهان,مجتمع تولید گوشت مرغ ماهان,4.51E+15,303,IRO3MACZ0001,IRO3MACZ0009,زراعت و خدمات وابسته,1,2023-08-31T05:41:51.655Z,1,0
499,بترانس,ایران‌ ترانسفو,4.68E+16,300,IRO1TRNS0001,IRO1TRNS0001,ماشين آلات و دستگاه‌هاي برقي,31,2023-08-31T05:41:51.771Z,31,0
501,سهرمز,سیمان‌هرمزگان‌,2.97E+16,300,IRO1SHZG0001,IRO1SHZG0004,"سيمان، آهك و گچ",53,2023-08-31T05:41:51.917Z,53,0
503,شاوان,پالایش نفت لاوان,6.02E+16,303,IRO3PNLZ0001,IRO3PNLZ0000,"فراورده هاي نفتي، كك و سوخت هسته اي",23,2023-08-31T05:41:52.060Z,23,0
505,سنوین,سرمایه گذاری اقتصاد نوین,3.70E+16,309,IRO7IENP0001,IRO7IENP0006,سرمايه گذاريها,56,2023-08-31T05:41:52.200Z,56,0
513,گوهران,سرمایه گذاری توسعه گوهران امید,6.50E+16,303,IRO3GOMZ0001,IRO3GOMZ0009,سرمايه گذاريها,56,2023-08-31T05:41:52.741Z,56,0
523,ثشرق,سرمایه گذاری مسکن شمال شرق,6.04E+15,300,IRO1PMSZ0001,IRO1PMSZ0006,"انبوه سازي، املاك و مستغلات",70,2023-08-31T05:41:53.406Z,70,0
525,غگلستا,شیر پاستوریزه پگاه گلستان,6.48E+16,303,IRO3PGLZ0001,IRO3PGLZ0009,محصولات غذايي و آشاميدني به جز قند و شكر,42,2023-08-31T05:41:53.531Z,42,0
527,کیمیا,ص. معدنی کیمیای زنجان گستران,1.44E+16,300,IRO1KZGZ0001,IRO1KZGZ0000,فلزات اساسي,27,2023-08-31T05:41:53.646Z,27,0
